arm,joint_angles,end_effector_position
psm1,"[0.25693408944170704, -0.4439160002791766, 0.21525607037292474, -1.5424789603369298, 0.05848041189296242, 0.215563679805631]","[0.05108931099957894, 0.0958642961242837, -0.1898160009819327]"
psm1,"[0.15385926852861825, -0.4230801669965278, 0.15468155643202325, -1.5439467896901595, 0.058343775416577, 0.21543006151176927]","[0.02311675033907847, 0.06687810622498348, -0.14141697614632998]"
psm1,"[-0.21315412692156768, -0.27719072053895977, 0.1367084426099727, -1.6313874811611355, 0.06025668608597297, 0.21043970462802106]","[-0.02739286084974673, 0.04046570462761777, -0.13137621955444412]"
psm2,"[-0.019677428911856615, -0.4154578662367152, 0.10298535886813032, 4.247898148247081, -0.1744847803441893, -0.1918670300641364]","[-0.004030930534272292, 0.03991614433958343, -0.09841427428540524]"
psm2,"[-0.22832150148314004, -0.4963762728844521, 0.15835136423802576, 4.371824883641198, -0.18732860912441934, -0.1814754276349316]","[-0.035138969210592313, 0.07436507897861946, -0.1391017003127024]"
psm2,"[-0.13275314089278462, -0.48406629577083377, 0.2114190406640701, 4.22525163822582, -0.18732860912441934, -0.17453273591095525]","[-0.02764429387139208, 0.09702318348048411, -0.18948296918746454]"
ecm,"[0.1983195812425507, -0.5048343044777949, 0.05210653489112121, -0.062146281461565804]","[-0.03200254706132763, -0.029462114730894023, 0.14768245240568467]"
ecm,"[0.19755381803323818, -0.5048343044777949, 0.05210653489112121, -0.062146281461565804]","[-0.03200254706132763, -0.029348912937016886, 0.14770497006742994]"
ecm,"[0.19605501653808804, -0.5048343044777949, 0.05210653489112121, -0.06181919576966283]","[-0.03206781452230975, -0.029112685089923554, 0.14767460024418066]"
